time,sp,pv
85.5,1.0,1.0034006181208772
86.0,1.0,1.003399555201451
86.5,1.0,1.0033948688118444
87.0,1.0,1.0033868125160934
87.5,1.0,1.0033756261552473
88.0,1.0,1.0033615365273152
88.5,1.0,1.0033447580348294
89.0,1.0,1.003325493301639
89.5,1.0,1.0033039337605059
90.0,1.0,1.0032802602125674
90.5,1.0,1.0032546433598046
91.0,1.0,1.003227244311862
91.5,1.0,1.0031982150685435
92.0,1.0,1.0031676989791825
92.5,1.0,1.0031358311799654
93.0,1.0,1.0031027390102256
93.5,1.0,1.003068542408674
94.0,1.0,1.003033354290492
94.5,1.0,1.0029972809061576
95.0,1.0,1.0029604221828978
95.5,1.0,1.0029228720496182
96.0,1.0,1.0028847187460956
96.5,1.0,1.0028460451171621
97.0,1.0,1.0028069288925794
97.5,1.0,1.002767442953276
98.0,1.0,1.0027276555845952
98.5,1.0,1.0026876307171693
99.0,1.0,1.0026474281560127
99.5,1.0,1.0026071037983963
100.0,1.0,1.0025667098410365
100.5,1.0,1.002526294977098
101.0,1.0,1.0024859045834966
101.5,1.0,1.0024455808989599
102.0,1.0,1.0024053631932914
102.5,1.0,1.002365287928256
103.0,1.0,1.002325388910487
103.5,1.0,1.0022856974367966
104.0,1.0,1.0022462424322505
104.5,1.0,1.0022070505813532
105.0,1.0,1.0021681464526737
105.5,1.0,1.0021295526172245
106.0,1.0,1.0020912897608965
106.5,1.0,1.0020533767912332
107.0,1.0,1.0020158309388174
107.5,1.0,1.0019786678535292
108.0,1.0,1.0019419016959212
108.5,1.0,1.0019055452239485
109.0,1.0,1.0018696098752746
109.5,1.0,1.001834105845371
110.0,1.0,1.0017990421616103
110.5,1.0,1.0017644267535502
111.0,1.0,1.00173026651959
111.5,1.0,1.0016965673901796
112.0,1.0,1.0016633343877452
112.5,1.0,1.0016305716834926
113.0,1.0,1.001598282651242
113.5,1.0,1.0015664699184383
114.0,1.0,1.0015351354144744
114.5,1.0,1.0015042804164596
115.0,1.0,1.00147390559256
115.5,1.0,1.001444011043029
116.0,1.0,1.001414596339039
116.5,1.0,1.0013856605594305
117.0,1.0,1.0013572023254715
117.5,1.0,1.001329219833735
118.0,1.0,1.0013017108871805
118.5,1.0,1.001274672924535
119.0,1.0,1.0012481030480531
119.5,1.0,1.0012219980497412
120.0,1.0,1.0011963544361187
120.5,1.0,1.0011711684515938
121.0,1.0,1.0011464361005202
121.5,1.0,1.0011221531680026
122.0,1.0,1.0010983152395136
122.5,1.0,1.0010749177193834
123.0,1.0,1.0010519558482172
123.5,1.0,1.001029424719298
124.0,1.0,1.0010073192940228
124.5,1.0,1.000985634416426
125.0,1.0,1.0009643648268323
125.5,1.0,1.0009435051746873
126.0,1.0,1.0009230500306074
126.5,1.0,1.0009029938976883
127.0,1.0,1.000883331222112
127.5,1.0,1.0008640564030877
128.0,1.0,1.0008451638021638
128.5,1.0,1.0008266477519399
129.0,1.0,1.000808502564214
129.5,1.0,1.000790722537595
130.0,1.0,1.0007733019646048
130.5,1.0,1.0007562351383026
131.0,1.0,1.0007395163584523
131.5,1.0,1.0007231399372614
132.0,1.0,1.0007071002047119
132.5,1.0,1.000691391513506
133.0,1.0,1.0006760082436494
133.5,1.0,1.0006609448066888
134.0,1.0,1.0006461956496258
134.5,1.0,1.0006317552585235
135.0,1.0,1.0006176181618238
135.5,1.0,1.0006037789333895
136.0,1.0,1.0005902321952904
136.5,1.0,1.0005769726203455
137.0,1.0,1.000563994934434
137.5,1.0,1.0005512939185925
138.0,1.0,1.0005388644109072
138.5,1.0,1.0005267013082142
139.0,1.0,1.0005147995676196
139.5,1.0,1.0005031542078502
140.0,1.0,1.0004917603104437
140.5,1.0,1.0004806130207904
141.0,1.0,1.0004697075490319
141.5,1.0,1.00045903917083
142.0,1.0,1.00044860322801
142.5,1.0,1.0004383951290894
143.0,1.0,1.000428410349696
143.5,1.0,1.0004186444328864
144.0,1.0,1.0004090929893676
144.5,1.0,1.0003997516976313
145.0,1.0,1.0003906163040035
145.5,1.0,1.000381682622619
146.0,1.0,1.0003729465353226
146.5,1.0,1.0003644039915036
147.0,1.0,1.0003560510078688
147.5,1.0,1.0003478836681572
148.0,1.0,1.0003398981228016
148.5,1.0,1.000332090588541
149.0,1.0,1.0003244573479873
149.5,1.0,1.0003169947491506
150.0,1.0,1.0003096992049252
150.5,1.0,1.0003025671925407
151.0,1.0,1.0002955952529808
151.5,1.0,1.0002887799903726
152.0,1.0,1.0002821180713488
152.5,1.0,1.0002756062243863
153.0,1.0,1.0002692412391225
153.5,1.0,1.000263019965652
154.0,1.0,1.0002569393138057
154.5,1.0,1.0002509962524146
155.0,1.0,1.0002451878085605
155.5,1.0,1.000239511066813
156.0,1.0,1.0002339631684578
156.5,1.0,1.0002285413107166
157.0,1.0,1.0002232427459576
157.5,1.0,1.0002180647809031
158.0,1.0,1.000213004775829
158.5,1.0,1.0002080601437646
159.0,1.0,1.000203228349686
159.5,1.0,1.0001985069097121
160.0,1.0,1.0001938933902976
160.5,1.0,1.0001893854074273
161.0,1.0,1.000184980625812
161.5,1.0,1.000180676758087
162.0,1.0,1.0001764715640113
162.5,1.0,1.0001723628496741
163.0,1.0,1.000168348466702
163.5,1.0,1.0001644263114728
164.0,1.0,1.0001605943243337
164.5,1.0,1.000156850488826
165.0,1.0,1.000153192830916
165.5,1.0,1.0001496194182318
166.0,1.0,1.0001461283593074
166.5,1.0,1.000142717802835
167.0,1.0,1.0001393859369234
167.5,1.0,1.0001361309883658
168.0,1.0,1.000132951221915
168.5,1.0,1.0001298449395668
169.0,1.0,1.0001268104798529
